GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLKGRPA,GEOID,NAME,BTTRA,BTBGA,Total,not_hisp_lat,not_white,not_black,not_aian,not_asian,not_nhpi,not_other,not_two_more,not_two_incl_someother,not_two_excl_someother_three,hisp_lat,hisp_white,hisp_black,hisp_aian,hisp_asian,hisp_nhpi,hisp_other,hisp_two_more,hisp_two_incl_someother,hisp_two_excl_someother_three
G26000100001001,2016-2020,MI,Michigan,26,Alcona County,1,100,1,15000US260010001001,"Block Group 1, Census Tract 1, Alcona County, Michigan",,,715,710,684,4,0,0,0,0,22,6,16,5,5,0,0,0,0,0,0,0,0
G26000100001002,2016-2020,MI,Michigan,26,Alcona County,1,100,2,15000US260010001002,"Block Group 2, Census Tract 1, Alcona County, Michigan",,,987,981,963,0,0,0,0,0,18,0,18,6,6,0,0,0,0,0,0,0,0
G26000109701001,2016-2020,MI,Michigan,26,Alcona County,1,970100,1,15000US260019701001,"Block Group 1, Census Tract 9701, Alcona County, Michigan",,,1076,1069,1041,0,0,17,0,0,11,0,11,7,7,0,0,0,0,0,0,0,0
G26000109701002,2016-2020,MI,Michigan,26,Alcona County,1,970100,2,15000US260019701002,"Block Group 2, Census Tract 9701, Alcona County, Michigan",,,1410,1366,1305,7,17,5,0,0,32,7,25,44,39,0,0,0,0,0,5,0,5
G26000109704001,2016-2020,MI,Michigan,26,Alcona County,1,970400,1,15000US260019704001,"Block Group 1, Census Tract 9704, Alcona County, Michigan",,,1314,1293,1265,8,0,0,0,5,15,0,15,21,6,0,7,0,0,0,8,8,0
G26000109704002,2016-2020,MI,Michigan,26,Alcona County,1,970400,2,15000US260019704002,"Block Group 2, Census Tract 9704, Alcona County, Michigan",,,1522,1478,1417,13,34,3,2,0,9,0,9,44,28,0,0,0,0,16,0,0,0
G26000109705001,2016-2020,MI,Michigan,26,Alcona County,1,970500,1,15000US260019705001,"Block Group 1, Census Tract 9705, Alcona County, Michigan",,,650,650,624,0,3,11,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0
G26000109705002,2016-2020,MI,Michigan,26,Alcona County,1,970500,2,15000US260019705002,"Block Group 2, Census Tract 9705, Alcona County, Michigan",,,512,485,479,0,0,0,0,0,6,6,0,27,6,0,0,0,0,21,0,0,0
G26000109705003,2016-2020,MI,Michigan,26,Alcona County,1,970500,3,15000US260019705003,"Block Group 3, Census Tract 9705, Alcona County, Michigan",,,822,817,800,0,9,0,0,0,8,0,8,5,5,0,0,0,0,0,0,0,0
G26000109706001,2016-2020,MI,Michigan,26,Alcona County,1,970600,1,15000US260019706001,"Block Group 1, Census Tract 9706, Alcona County, Michigan",,,780,773,763,5,0,0,0,0,5,0,5,7,0,0,0,0,0,7,0,0,0
G26000109706002,2016-2020,MI,Michigan,26,Alcona County,1,970600,2,15000US260019706002,"Block Group 2, Census Tract 9706, Alcona County, Michigan",,,608,608,584,7,3,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0
G26000109900000,2016-2020,MI,Michigan,26,Alcona County,1,990000,0,15000US260019900000,"Block Group 0, Census Tract 9900, Alcona County, Michigan",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G26000300001001,2016-2020,MI,Michigan,26,Alger County,3,100,1,15000US260030001001,"Block Group 1, Census Tract 1, Alger County, Michigan",,,1156,1150,1077,19,13,4,0,0,37,0,37,6,0,0,0,0,0,0,6,6,0
G26000300001002,2016-2020,MI,Michigan,26,Alger County,3,100,2,15000US260030001002,"Block Group 2, Census Tract 1, Alger County, Michigan",,,1434,1399,1236,0,83,15,0,0,65,0,65,35,25,0,0,0,0,2,8,0,8
G26000300001003,2016-2020,MI,Michigan,26,Alger County,3,100,3,15000US260030001003,"Block Group 3, Census Tract 1, Alger County, Michigan",,,833,826,771,0,41,0,0,0,14,0,14,7,7,0,0,0,0,0,0,0,0
G26000300002001,2016-2020,MI,Michigan,26,Alger County,3,200,1,15000US260030002001,"Block Group 1, Census Tract 2, Alger County, Michigan",,,1158,1095,999,18,22,0,0,0,56,2,54,63,2,0,0,0,0,40,21,21,0
G26000300002002,2016-2020,MI,Michigan,26,Alger County,3,200,2,15000US260030002002,"Block Group 2, Census Tract 2, Alger County, Michigan",,,1392,1381,1153,12,185,4,0,0,27,0,27,11,8,0,0,0,0,0,3,0,3
G26000300003001,2016-2020,MI,Michigan,26,Alger County,3,300,1,15000US260030003001,"Block Group 1, Census Tract 3, Alger County, Michigan",,,1281,1280,1240,0,5,0,0,0,35,1,34,1,1,0,0,0,0,0,0,0,0
G26000300003002,2016-2020,MI,Michigan,26,Alger County,3,300,2,15000US260030003002,"Block Group 2, Census Tract 3, Alger County, Michigan",,,1844,1814,1117,583,10,48,0,0,56,0,56,30,22,0,0,0,0,0,8,0,8
G26000309900000,2016-2020,MI,Michigan,26,Alger County,3,990000,0,15000US260039900000,"Block Group 0, Census Tract 9900, Alger County, Michigan",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G26000500302001,2016-2020,MI,Michigan,26,Allegan County,5,30200,1,15000US260050302001,"Block Group 1, Census Tract 302, Allegan County, Michigan",,,1192,1155,1138,0,0,12,0,0,5,0,5,37,24,0,0,0,0,13,0,0,0
G26000500302002,2016-2020,MI,Michigan,26,Allegan County,5,30200,2,15000US260050302002,"Block Group 2, Census Tract 302, Allegan County, Michigan",,,1215,1171,1014,47,0,110,0,0,0,0,0,44,13,0,0,0,0,31,0,0,0
G26000500302003,2016-2020,MI,Michigan,26,Allegan County,5,30200,3,15000US260050302003,"Block Group 3, Census Tract 302, Allegan County, Michigan",,,853,831,816,15,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0
G26000500303011,2016-2020,MI,Michigan,26,Allegan County,5,30301,1,15000US260050303011,"Block Group 1, Census Tract 303.01, Allegan County, Michigan",,,1804,1775,1769,0,0,0,0,0,6,0,6,29,29,0,0,0,0,0,0,0,0
G26000500303012,2016-2020,MI,Michigan,26,Allegan County,5,30301,2,15000US260050303012,"Block Group 2, Census Tract 303.01, Allegan County, Michigan",,,1183,1157,1157,0,0,0,0,0,0,0,0,26,17,0,0,0,0,2,7,7,0
G26000500303021,2016-2020,MI,Michigan,26,Allegan County,5,30302,1,15000US260050303021,"Block Group 1, Census Tract 303.02, Allegan County, Michigan",,,2973,2973,2924,2,0,0,0,0,47,0,47,0,0,0,0,0,0,0,0,0,0
G26000500303022,2016-2020,MI,Michigan,26,Allegan County,5,30302,2,15000US260050303022,"Block Group 2, Census Tract 303.02, Allegan County, Michigan",,,1919,1826,1816,0,0,0,0,10,0,0,0,93,76,0,0,0,0,17,0,0,0
G26000500304021,2016-2020,MI,Michigan,26,Allegan County,5,30402,1,15000US260050304021,"Block Group 1, Census Tract 304.02, Allegan County, Michigan",,,2147,2026,1964,33,0,0,0,0,29,0,29,121,121,0,0,0,0,0,0,0,0
G26000500304022,2016-2020,MI,Michigan,26,Allegan County,5,30402,2,15000US260050304022,"Block Group 2, Census Tract 304.02, Allegan County, Michigan",,,2571,2446,2218,0,0,162,0,0,66,0,66,125,54,0,0,0,0,0,71,71,0
