GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLKGRPA,GEOID,NAME,Total,black,white,asian,nhpi,aian,two_more,not_hispanic,hispanic
G26000100001001,2016-2020,MI,Michigan,26,Alcona County,1,100,1,15000US260010001001,"Block Group 1, Census Tract 1, Alcona County, Michigan",715,4,689,0,0,0,22,710,5
G26000100001002,2016-2020,MI,Michigan,26,Alcona County,1,100,2,15000US260010001002,"Block Group 2, Census Tract 1, Alcona County, Michigan",987,0,969,0,0,0,18,981,6
G26000109701001,2016-2020,MI,Michigan,26,Alcona County,1,970100,1,15000US260019701001,"Block Group 1, Census Tract 9701, Alcona County, Michigan",1076,0,1048,17,0,0,11,1069,7
G26000109701002,2016-2020,MI,Michigan,26,Alcona County,1,970100,2,15000US260019701002,"Block Group 2, Census Tract 9701, Alcona County, Michigan",1410,7,1344,5,0,17,37,1366,44
G26000109704001,2016-2020,MI,Michigan,26,Alcona County,1,970400,1,15000US260019704001,"Block Group 1, Census Tract 9704, Alcona County, Michigan",1314,8,1271,0,0,7,23,1293,21
G26000109704002,2016-2020,MI,Michigan,26,Alcona County,1,970400,2,15000US260019704002,"Block Group 2, Census Tract 9704, Alcona County, Michigan",1522,13,1445,3,2,34,9,1478,44
G26000109705001,2016-2020,MI,Michigan,26,Alcona County,1,970500,1,15000US260019705001,"Block Group 1, Census Tract 9705, Alcona County, Michigan",650,0,624,11,0,3,12,650,0
G26000109705002,2016-2020,MI,Michigan,26,Alcona County,1,970500,2,15000US260019705002,"Block Group 2, Census Tract 9705, Alcona County, Michigan",512,0,485,0,0,0,6,485,27
G26000109705003,2016-2020,MI,Michigan,26,Alcona County,1,970500,3,15000US260019705003,"Block Group 3, Census Tract 9705, Alcona County, Michigan",822,0,805,0,0,9,8,817,5
G26000109706001,2016-2020,MI,Michigan,26,Alcona County,1,970600,1,15000US260019706001,"Block Group 1, Census Tract 9706, Alcona County, Michigan",780,5,763,0,0,0,5,773,7
G26000109706002,2016-2020,MI,Michigan,26,Alcona County,1,970600,2,15000US260019706002,"Block Group 2, Census Tract 9706, Alcona County, Michigan",608,7,584,0,0,3,14,608,0
G26000109900000,2016-2020,MI,Michigan,26,Alcona County,1,990000,0,15000US260019900000,"Block Group 0, Census Tract 9900, Alcona County, Michigan",0,0,0,0,0,0,0,0,0
G26000300001001,2016-2020,MI,Michigan,26,Alger County,3,100,1,15000US260030001001,"Block Group 1, Census Tract 1, Alger County, Michigan",1156,19,1077,4,0,13,43,1150,6
G26000300001002,2016-2020,MI,Michigan,26,Alger County,3,100,2,15000US260030001002,"Block Group 2, Census Tract 1, Alger County, Michigan",1434,0,1261,15,0,83,73,1399,35
G26000300001003,2016-2020,MI,Michigan,26,Alger County,3,100,3,15000US260030001003,"Block Group 3, Census Tract 1, Alger County, Michigan",833,0,778,0,0,41,14,826,7
G26000300002001,2016-2020,MI,Michigan,26,Alger County,3,200,1,15000US260030002001,"Block Group 1, Census Tract 2, Alger County, Michigan",1158,18,1001,0,0,22,77,1095,63
