GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTY,COUNTYA,TRACTA,GEOID,NAME,total,white,black,aian,asian,nhpi,other,twomore,twomore_excl,threemore,housing
G4700010020100,2016-2020,TN,Tennessee,47,Anderson County,1,20100,14000US47001020100,"Census Tract 201, Anderson County, Tennessee",3199,2295,563,5,96,49,7,184,82,102,1791
G4700010020201,2016-2020,TN,Tennessee,47,Anderson County,1,20201,14000US47001020201,"Census Tract 202.01, Anderson County, Tennessee",4091,3359,148,0,493,0,0,91,0,91,1940
G4700010020202,2016-2020,TN,Tennessee,47,Anderson County,1,20202,14000US47001020202,"Census Tract 202.02, Anderson County, Tennessee",4059,3315,252,0,199,0,179,114,66,48,2220
G4700010020300,2016-2020,TN,Tennessee,47,Anderson County,1,20300,14000US47001020300,"Census Tract 203, Anderson County, Tennessee",3959,3264,60,41,0,0,32,562,309,253,1705
G4700010020400,2016-2020,TN,Tennessee,47,Anderson County,1,20400,14000US47001020400,"Census Tract 204, Anderson County, Tennessee",4348,3641,56,52,29,0,197,373,0,373,2151
G4700010020500,2016-2020,TN,Tennessee,47,Anderson County,1,20500,14000US47001020500,"Census Tract 205, Anderson County, Tennessee",3745,2559,779,29,23,0,0,355,0,355,1810
G4700010020600,2016-2020,TN,Tennessee,47,Anderson County,1,20600,14000US47001020600,"Census Tract 206, Anderson County, Tennessee",2311,1954,156,0,7,0,42,152,110,42,959
G4700010020700,2016-2020,TN,Tennessee,47,Anderson County,1,20700,14000US47001020700,"Census Tract 207, Anderson County, Tennessee",1622,1622,0,0,0,0,0,0,0,0,743
G4700010020800,2016-2020,TN,Tennessee,47,Anderson County,1,20800,14000US47001020800,"Census Tract 208, Anderson County, Tennessee",4803,4723,32,0,0,0,10,38,0,38,2154
G4700010020901,2016-2020,TN,Tennessee,47,Anderson County,1,20901,14000US47001020901,"Census Tract 209.01, Anderson County, Tennessee",5385,5104,6,9,14,0,48,204,147,57,2853
G4700010020902,2016-2020,TN,Tennessee,47,Anderson County,1,20902,14000US47001020902,"Census Tract 209.02, Anderson County, Tennessee",6783,6633,0,0,99,0,26,25,0,25,2624
G4700010021001,2016-2020,TN,Tennessee,47,Anderson County,1,21001,14000US47001021001,"Census Tract 210.01, Anderson County, Tennessee",2783,2662,100,0,0,0,0,21,0,21,1196
G4700010021002,2016-2020,TN,Tennessee,47,Anderson County,1,21002,14000US47001021002,"Census Tract 210.02, Anderson County, Tennessee",3569,3432,0,0,0,0,75,62,0,62,1418
G4700010021100,2016-2020,TN,Tennessee,47,Anderson County,1,21100,14000US47001021100,"Census Tract 211, Anderson County, Tennessee",4106,3840,87,0,19,0,86,74,0,74,1858
G4700010021201,2016-2020,TN,Tennessee,47,Anderson County,1,21201,14000US47001021201,"Census Tract 212.01, Anderson County, Tennessee",5111,4804,259,8,10,0,0,30,16,14,2049
G4700010021202,2016-2020,TN,Tennessee,47,Anderson County,1,21202,14000US47001021202,"Census Tract 212.02, Anderson County, Tennessee",5583,5274,142,5,0,0,0,162,120,42,2916
G4700010021301,2016-2020,TN,Tennessee,47,Anderson County,1,21301,14000US47001021301,"Census Tract 213.01, Anderson County, Tennessee",3521,3489,11,0,13,0,0,8,0,8,1587
G4700010021303,2016-2020,TN,Tennessee,47,Anderson County,1,21303,14000US47001021303,"Census Tract 213.03, Anderson County, Tennessee",3891,3694,13,0,92,25,21,46,0,46,1612
G4700010021304,2016-2020,TN,Tennessee,47,Anderson County,1,21304,14000US47001021304,"Census Tract 213.04, Anderson County, Tennessee",3644,3249,91,208,52,0,0,44,0,44,1471
G4700010980100,2016-2020,TN,Tennessee,47,Anderson County,1,980100,14000US47001980100,"Census Tract 9801, Anderson County, Tennessee",0,0,0,0,0,0,0,0,0,0,0
G4700030950100,2016-2020,TN,Tennessee,47,Bedford County,3,950100,14000US47003950100,"Census Tract 9501, Bedford County, Tennessee",4756,3808,438,86,96,0,44,284,47,237,1825
G4700030950201,2016-2020,TN,Tennessee,47,Bedford County,3,950201,14000US47003950201,"Census Tract 9502.01, Bedford County, Tennessee",3476,3395,0,0,0,0,0,81,0,81,1391
G4700030950202,2016-2020,TN,Tennessee,47,Bedford County,3,950202,14000US47003950202,"Census Tract 9502.02, Bedford County, Tennessee",4306,4191,62,0,0,0,0,53,21,32,1559
G4700030950300,2016-2020,TN,Tennessee,47,Bedford County,3,950300,14000US47003950300,"Census Tract 9503, Bedford County, Tennessee",3223,3185,0,0,0,0,38,0,0,0,1438
G4700030950401,2016-2020,TN,Tennessee,47,Bedford County,3,950401,14000US47003950401,"Census Tract 9504.01, Bedford County, Tennessee",5983,5392,222,25,0,0,252,92,5,87,2125
G4700030950402,2016-2020,TN,Tennessee,47,Bedford County,3,950402,14000US47003950402,"Census Tract 9504.02, Bedford County, Tennessee",7103,6021,534,75,0,20,404,49,17,32,2763
G4700030950500,2016-2020,TN,Tennessee,47,Bedford County,3,950500,14000US47003950500,"Census Tract 9505, Bedford County, Tennessee",6872,4730,1152,0,0,0,284,706,377,329,2644
G4700030950600,2016-2020,TN,Tennessee,47,Bedford County,3,950600,14000US47003950600,"Census Tract 9506, Bedford County, Tennessee",6819,4815,998,36,0,0,535,435,33,402,2814
G4700030950700,2016-2020,TN,Tennessee,47,Bedford County,3,950700,14000US47003950700,"Census Tract 9507, Bedford County, Tennessee",3219,3135,59,1,0,0,0,24,0,24,1445
G4700030950800,2016-2020,TN,Tennessee,47,Bedford County,3,950800,14000US47003950800,"Census Tract 9508, Bedford County, Tennessee",3180,3077,64,0,0,0,0,39,0,39,1341
