Permit #,Status,Permit Type,Permit SubType,Permit Sub Type Description,Date Entered,Date Issued,Parcel,Business Name,Business Owner,Address,City,State,Zip,Council District,Census Tract,Mapped Location,latlng,lat,lng
19-25846,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/24/2019,06/03/2019,16300030200,EXO-TIKKA INDIAN CUSINE,,5385  MT VIEW RD,ANTIOCH,TN,37013.0,32.0,37015629.0,"5385 MT VIEW RD
ANTIOCH, TN 37013
(36.047649, -86.648119)","36.047649, -86.648119",36.047649, -86.648119
20-26973,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/12/2020,12/28/2020,09314003500,ARNOLD'S COUNTRY KITCHEN,Rosario Arnold 100%,605  8TH AVE S,NASHVILLE,TN,37203.0,19.0,37019500.0,"605 8TH AVE S
NASHVILLE, TN 37203
(36.151413, -86.779244)","36.151413, -86.779244",36.151413, -86.779244
16-20340,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/18/2016,09/23/2016,09114025000,Las Palmas Mexican Restaurant,"Las Palmas Mexican Restaurant Inc, Qurino Onate",5821  Charlotte PIKE,Nashville,TN,37209.0,20.0,37018101.0,"5821 Charlotte PIKE
Nashville, TN 37209
(36.149076, -86.863105)","36.149076, -86.863105",36.149076, -86.863105
20-26841,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/03/2020,04/29/2021,08306027500,ROSEPEPPER CANTINA,,1907  EASTLAND AVE,NASHVILLE,TN,37206.0,6.0,37011700.0,"1907 EASTLAND AVE
NASHVILLE, TN 37206
(36.182604, -86.735319)","36.182604, -86.735319",36.182604, -86.735319
21-27168,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/13/2021,04/29/2021,09209016300,TACO CHELA,,3820  CHARLOTTE AVE  140 B,NASHVILLE,TN,37209.0,24.0,37013500.0,"3820 CHARLOTTE AVE 140 B
NASHVILLE, TN 37209
(36.152527, -86.832501)","36.152527, -86.832501",36.152527, -86.832501
17-00205,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor",11/03/2016,07/10/2017,09112001600,Fat Bottom Brewing,Fat Bottom Brewing Inc,800  44th AVE N,Nashville,TN,37209.0,20.0,37013300.0,"800 44th AVE N
Nashville, TN 37209
(36.157013, -86.839825)","36.157013, -86.839825",36.157013, -86.839825
21-27140,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/24/2021,04/30/2021,14200015800,7-ELEVEN 41070H,David Seltzer,7070  HIGHWAY 70  S,NASHVILLE,TN,37221.0,23.0,37018202.0,"7070 HIGHWAY 70 S
NASHVILLE, TN 37221
(36.074638, -86.920328)","36.074638, -86.920328",36.074638, -86.920328
19-25920,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/06/2019,06/13/2019,11714013900,NASHVILLE CIGAR,686 Bluberry Hill Road,4001  HILLSBORO PIKE,NASHVILLE,TN,37215.0,25.0,37017901.0,"4001 HILLSBORO PIKE
NASHVILLE, TN 37215
(36.104329, -86.815039)","36.104329, -86.815039",36.104329, -86.815039
19-25985,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,04/22/2019,06/13/2019,08305018200,TAILGATE BREWERY EAST NASHVILLE,,811  GALLATIN AVE,NASHVILLE,TN,37206.0,6.0,37011700.0,"811 GALLATIN AVE
NASHVILLE, TN 37206
(36.186415, -86.74721)","36.186415, -86.74721",36.186415, -86.74721
17-25076,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/07/2017,03/02/2018,09111005800,BARE BONES BUTCHER,,906  51ST AVE N,NASHVILLE,TN,37209.0,20.0,37013300.0,"906 51ST AVE N
NASHVILLE, TN 37209
(36.158192, -86.84889)","36.158192, -86.84889",36.158192, -86.84889
