1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. TRI CHEMICAL/COMPOUND ID,37. CAS#,38. SRS ID,39. CLEAN AIR ACT CHEMICAL,40. CLASSIFICATION,41. METAL,42. METAL CATEGORY,43. CARCINOGEN,44. PBT,45. PFAS,46. FORM TYPE,47. UNIT OF MEASURE,48. 5.1 - FUGITIVE AIR,49. 5.2 - STACK AIR,50. 5.3 - WATER,51. 5.4 - UNDERGROUND,52. 5.4.1 - UNDERGROUND CL I,53. 5.4.2 - UNDERGROUND C II-V,54. 5.5.1 - LANDFILLS,55. 5.5.1A - RCRA C LANDFILL,56. 5.5.1B - OTHER LANDFILLS,57. 5.5.2 - LAND TREATMENT,58. 5.5.3 - SURFACE IMPNDMNT,59. 5.5.3A - RCRA SURFACE IM,60. 5.5.3B - OTHER SURFACE I,61. 5.5.4 - OTHER DISPOSAL,62. ON-SITE RELEASE TOTAL,63. 6.1 - POTW - TRNS RLSE,64. 6.1 - POTW - TRNS TRT,65. POTW - TOTAL TRANSFERS,66. 6.2 - M10,67. 6.2 - M41,68. 6.2 - M62,69. 6.2 - M40 METAL,70. 6.2 - M61 METAL,71. 6.2 - M71,72. 6.2 - M81,73. 6.2 - M82,74. 6.2 - M72,75. 6.2 - M63,76. 6.2 - M66,77. 6.2 - M67,78. 6.2 - M64,79. 6.2 - M65,80. 6.2 - M73,81. 6.2 - M79,82. 6.2 - M90,83. 6.2 - M94,84. 6.2 - M99,85. OFF-SITE RELEASE TOTAL,86. 6.2 - M20,87. 6.2 - M24,88. 6.2 - M26,89. 6.2 - M28,90. 6.2 - M93,91. OFF-SITE RECYCLED TOTAL,92. 6.2 - M56,93. 6.2 - M92,94. OFF-SITE ENERGY RECOVERY T,95. 6.2 - M40 NON-METAL,96. 6.2 - M50,97. 6.2 - M54,98. 6.2 - M61 NON-METAL,99. 6.2 - M69,100. 6.2 - M95,101. OFF-SITE TREATED TOTAL,102. 6.2 - UNCLASSIFIED,103. 6.2 - TOTAL TRANSFER,104. TOTAL RELEASES,105. 8.1 - RELEASES,106. 8.1A - ON-SITE CONTAINED,107. 8.1B - ON-SITE OTHER,108. 8.1C - OFF-SITE CONTAIN,109. 8.1D - OFF-SITE OTHER R,110. 8.2 - ENERGY RECOVER ON,111. 8.3 - ENERGY RECOVER OF,112. 8.4 - RECYCLING ON SITE,113. 8.5 - RECYCLING OFF SIT,114. 8.6 - TREATMENT ON SITE,115. 8.7 - TREATMENT OFF SITE,116. PRODUCTION WSTE (8.1-8.7),117. 8.8 - ONE-TIME RELEASE,118. PROD_RATIO_OR_ ACTIVITY,119. 8.9 - PRODUCTION RATIO
2021,38126FRRLL221EC,110000374416,FARRELL-CALHOUN INC,221 E CAROLINA AVE,MEMPHIS,SHELBY,TN,38126,"","",35.128040,-90.052990,NAD83,NA,"",NA,NO,325,Chemicals,"","","","","","",325510,"","","","","",1321219601782,Xylene (mixed isomers),NO,0001330207,1330-20-7,84970,YES,TRI,NO,0,NO,NO,NO,R,Pounds,3074.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3081.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3081.000000,0.000000,0.000000,3081.000000,0.000000,0.000000,0.000000,0.000000,6788.000000,0.000000,0.000000,0.000000,9869.000000,"",PRODUCTION,0.900000
2021,3708WLWNCX712BR,110070000525,SOUTHTEC LLC,712 BRISKIN LANE,LEBANON,WILSON,TN,37087,"","",36.190190,-86.273890,NAD83,AUTOKINITON US HOLDINGS INC.,117063229,AUTOKINITON US HOLDINGS INC,NO,336,Transportation Equipment,"","","","","","",336390,"","","","","",1321219883826,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,1,NO,NO,NO,R,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.000000,19.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,102504.000000,0.000000,0.000000,0.000000,102504.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,102506.000000,21.000000,0.000000,0.000000,19.000000,2.000000,0.000000,0.000000,0.000000,0.000000,102504.000000,0.000000,0.000000,102525.000000,"",PRODUCTION,1.010000
2021,37322CYMRL124CY,110005005993,CYMER LLC,124 CYMER LN,DECATUR,MEIGS,TN,37322,"","",35.492281,-84.810784,NAD83,NA,"",CYMER LLC,NO,325,Chemicals,"","","","","","",325998,"","","","","",1321220280491,Methanol,NO,0000067561,67-56-1,4283,YES,TRI,NO,0,NO,NO,NO,R,Pounds,86.300000,1514.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1601.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61500.000000,0.000000,61500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61500.000000,1601.000000,0.000000,0.000000,1601.000000,0.000000,0.000000,0.000000,61500.000000,0.000000,0.000000,0.000000,0.000000,63101.000000,"",PRODUCTION,1.000000
2021,37716GLBND1000J,110000578321,EAGLE BEND MANUFACTURING INC,1000 JD YARNELL INDUSTRIAL PKWY,CLINTON,ANDERSON,TN,37716,"","",36.090100,-84.118940,NAD83,MAGNA US HOLDING INC,NA,MAGNA US HOLDING INC,NO,336,Transportation Equipment,"","","","","","",336370,"","","","","",1321219683265,Manganese,NO,0007439965,7439-96-5,149625,YES,TRI,YES,1,NO,NO,NO,R,Pounds,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,0.000000,679556.000000,0.000000,0.000000,0.000000,679556.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,679565.000000,89.000000,0.000000,0.000000,80.000000,9.000000,0.000000,0.000000,0.000000,0.000000,679556.000000,0.000000,0.000000,679645.000000,"",PRODUCTION,0.880000
2021,37208XXNMB1741E,110000910202,EXXON MOBIL CORP NASHVILLE TERMINAL,1741 ED TEMPLE BLVD,NASHVILLE,DAVIDSON,TN,37208,"","",36.180906,-86.827665,NAD83,EXXON MOBIL CORP,001213214,EXXON MOBIL CORP,NO,4247,Petroleum Bulk Terminals,"","","","","","",424710,"","","","","",1321219940828,Naphthalene,NO,0000091203,91-20-3,13326,YES,TRI,NO,0,YES,NO,NO,R,Pounds,4.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,0.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,6.000000,0.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,0.000000,0.000000,15.000000,"",PRODUCTION,1.020000
2021,38305FLRDSUSHIG,110007846359,GERDAU LONG STEEL NORTH AMERICA - JACKSON MILL,801 GERDAU DRIVE,JACKSON,MADISON,TN,38305,"","",35.724090,-88.817660,NAD83,GERDAU GROUP,004093456,GERDAU USA INC,NO,331,Primary Metals,"","","","","","",331110,"","","","","",1321219695032,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,N090,N090,649475,YES,TRI,YES,1,NO,NO,NO,R,Pounds,44.730000,217.840000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45255.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45537.570000,4.920000,0.000000,4.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,863.000000,0.000000,0.000000,0.000000,0.000000,0.000000,867.920000,0.000000,43355.000000,0.000000,0.000000,0.000000,43355.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44222.920000,46405.490000,0.000000,45255.000000,282.570000,863.000000,4.920000,0.000000,0.000000,0.000000,43355.000000,0.000000,0.000000,89760.490000,"",PRODUCTION,1.120000
2021,38053PSCZN3380F,110000373792,US ZINC- MILLINGTON,3380 FITE RD,MILLINGTON,SHELBY,TN,38053,"","",35.273740,-89.950200,NAD83,US ZINC CORP,602742850,US ZINC CORP,NO,331,Primary Metals,"","","","","","",331492,"","","","","",1321220201228,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,1,NO,NO,NO,R,Pounds,3109.640000,57900.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61010.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5993.640000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5993.640000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5993.640000,67003.950000,0.000000,0.000000,61010.310000,5993.640000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67003.950000,"",PRODUCTION,1.140000
2021,38109MPCPT543WE,110000374087,VALERO REFINING CO - TENNESSEE L.L.C.,2385 RIVERPORT ROAD,MEMPHIS,SHELBY,TN,38109,"","",35.085843,-90.083385,NAD83,VALERO ENERGY CORP,199623414,VALERO ENERGY CORP,NO,324,Petroleum,"","","","","","",324110,"","","","","",1321220440933,Methanol,NO,0000067561,67-56-1,4283,YES,TRI,NO,0,NO,NO,NO,R,Pounds,45.000000,592.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,637.000000,5.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,642.000000,0.000000,0.000000,637.000000,0.000000,5.000000,537452.000000,0.000000,0.000000,0.000000,19723.000000,0.000000,557817.000000,"",PRODUCTION,1.200000
2021,38109MPCPT543WE,110000374087,VALERO REFINING CO - TENNESSEE L.L.C.,2385 RIVERPORT ROAD,MEMPHIS,SHELBY,TN,38109,"","",35.085843,-90.083385,NAD83,VALERO ENERGY CORP,199623414,VALERO ENERGY CORP,NO,324,Petroleum,"","","","","","",324110,"","","","","",1321220441125,Vanadium (except when contained in an alloy),NO,0007440622,7440-62-2,150193,NO,TRI,NO,4,NO,NO,NO,R,Pounds,0.000000,19.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.000000,4321.000000,0.000000,4321.000000,0.000000,26.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4574.340000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8922.240000,0.000000,0.000000,4518.400000,0.000000,0.000000,4518.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13440.640000,8941.240000,0.000000,0.000000,19.000000,5957.060000,2965.180000,0.000000,0.000000,0.000000,4518.400000,0.000000,0.000000,13459.640000,"",PRODUCTION,1.200000
2021,37066RPPHN600RA,110000370152,INSTEEL WIRE PRODUCTS,600 RAPPAHANNOCK RD,GALLATIN,SUMNER,TN,37066,"","",36.382686,-86.424157,NAD83,INSTEEL INDUSTRIES INC,003220225,INSTEEL INDUSTRIES INC,NO,331,Primary Metals,"","","","","","",331222,"","","","","",1321219677287,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,1,NO,NO,NO,R,Pounds,19.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.000000,45.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,46.000000,0.000000,0.000000,45.000000,0.660000,0.340000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,46.000000,"",PRODUCTION,1.000000
